name,Additional Comments for removal,Editor,Editor - Description,Scripting,Scripting - Description,Lang,Hosting,Hosting - Description,Peer-review,Review - Description,Game Engine + SDK,In-app,Custom,"visual scripting, no-code, block-building",full code,CODE,popularity
Microsoft Mesh,"It may not be a free service. ""Microsoft 365 and Office 365 commercial subscriptions that have a Teams license""","Game Engine + SDK, In-app",Both in app editor and Unity based SDK.,"full code, logic flow scripting",In the app creation tool there is a limited visual/logic scripoting but in the unity + SDK editor there is full C# scripoting ( hosted by them) and a logic flow scripting capabilites.,,Cloud,The scripting seems hosted on a microsoft cloud machine.,Test Case,The only review process it seems to happen is a test cases that needs to pass for the spaces to be published.,,,,,,,1
VRChat,,Game Engine + SDK,Uses Unity,"full code, logic flow scripting",Access to Uson Graph and UdonSharp (use C#) are available in the Unity Editor.,C#,Cloud,The worlds can be uploaded to the Community Labs,Peer-review,Worlds are queued and reviewed in Community Labs before going public based on popularity and reports of major concerns.,1,0,0,1,1,10011,4
Rec Room,,"In-app, Game Engine + SDK",In-app custom creator tool,"logic flow scripting, full code",In the in-app creation tool. In the Unity+SDK you should have access to scripts in C#.,C#,Cloud,The room are directly uploaded to the recroom cloud,No peer review,It does Automated image scanning to prevent unwanted content in game such as inappropriate shirts. But it does not appear to have any review process. Actually it ask the users to report problems if they see them.,1,1,0,1,1,11011,6
Roblox,,Custom,Uses Roblox Engine in Roblox Studio,full code,In the game engine using their own script editor with Luau programming language,Lua,Cloud,The experiences are managed in the Creator Dashboard,No peer review,"Creators are encouraged to provide guidelines, but there are no review process from the Roblox part",0,0,1,0,1,00101,2
Yeeps: Hide and Seek,Pay to create,In-app,In vr app map creator and simple logic.,block-building,Simple logic block building capabilities. Similar to redstone in minecraft.,,Cloud,Publish a world in their cloud,No peer review,No information,0,1,0,1,0,10,16
GRAB,Lack custom interaction/logic,In-app,In-app editor provided with basic objects.,no scripting capabilities,-,,Cloud,The worlds are directly published inside the application,"possible further review, No peer review","No review to publish, but worlds can be verified later",0,1,0,0,0,01000,22
Meta Horizon Worlds,,"In-app, Custom",In app custom tool. In 2025 Meta added a custom editor.,"visual scripting, full code","You can add scripts to event, objects and player. Added scripting capabilities in 2025",TS,Cloud,Worlds are published in Meta worlds tab.,"possible further review, Test Case",Self questionniare plus possible firther review.,0,1,1,1,1,01111,3
Penguin Paradise,Lack custom interaction/logic,In-app,In-app editor provided with objects.,no scripting capabilities,-,,Cloud,The worlds seems to be directly published inside the application,No peer review,No information about review.,0,1,0,0,0,01000,23
DigiGods: Build and Battle,Lack custom interaction/logic,In-app,in app from above world editor. Drag and drop objects.,no scripting capabilities,-,,Cloud,published as a map.,No peer review,No information.,0,1,0,0,0,01000,24
Remio,Like Minecraft where you can mine and put blocks. This is may not be a full editor.,In-app,Minecraft-like (not an editor),no scripting capabilities,-,,Cloud,Seems like it only has public worlds where players can mine and put blocks.,No peer review,No information about review.,0,1,0,0,0,01000,17
ChilloutVR,,Game Engine + SDK,Unity + their SDK,full code,Script in C#,C#,Cloud,World are uploaded to their server.,"Test Case, possible further review",Automatic Security checks when uploading world.,1,0,0,0,1,10001,12
Neos VR,,In-app,In-app custom creator tool,visual scripting,In-app with LogiX language,,"Cloud, Self-hosted",Can choose to host world in cloud or self-hosted,No peer review,Only need to submit world orb.,0,1,0,1,0,01010,13
Villa: AI Creation & Collaboration,PAID,,,,,,,,,,,,,,,,19
AltspaceVR,Shutted down,,,,,,,,,,,,,,,,20
Resonite,,In-app,In-app editor.,visual scripting,In-app with Protoflux language,,Cloud,The worlds are directly published inside the application,No peer review,No review.,0,1,0,1,0,01010,8
Multiverse,,In-app,Very limited things that can be customized (images or videos panels inside rooms and plot structures based on given 3D models; not really an editor),no scripting capabilities,-,,Cloud,The worlds are directly published inside the application,No peer review,No information about review.,0,1,0,0,0,01000,15
Spatial,,Game Engine + SDK,Unity + SDK,full code,full C# with blocked API calls ( e.g. networking),C#,Cloud,Hosted on cloud,Test Case,Automatically tested to check includ1ed package.,1,0,0,0,1,10001,5
Sansar,,Game Engine + SDK,In-app custom editor,full code,Allows adding scripts to objects using C# inside the editor.,C#,Cloud,The worlds and scenes are published from the editor or application to Atlas.,No peer review,No review before publishing but users can report worlds or scenes for violations.,1,0,0,0,1,10001,9
Derby,Could not find a way to create a room. Also Paid,,,,,,,,,,,,,,,,25
Viveport Verse,,Game Engine + SDK,Uses Playcanvas Editor. It also allows exporting from Unity projects.,full code,Uses JavaScript inside the Playcanvas Editor. It might allows scripting with C# when using Unity,JS,Cloud,The worlds and scenes are directly accesible via URL after publishing.,No peer review,No information about review.,1,0,0,0,1,10001,7
FRAME,,"Custom, In-app",Uses 3D tools to create objects that can be imported. Custom editor is removed,no-code,Action triggers. Full code scripting was removed.,Js,Cloud,The worlds and scenes are directly accesible via URL.,No peer review,No review.,0,1,0 / 1,1,0 / 1,010 / 110 / 1,10
Somnium Space,Paid for creating worlds (Need to buy a plot before editing the plot),Game Engine + SDK,Uses Unity or PlayCanvas with Somnium SDK.,full code,,,,,No peer review,,1,0,0,0,1,01,11
Sinespace,,Game Engine + SDK,Uses Unity with SDK or in-app editor.,full code,Uses Lua,Lua,Cloud,Hosted on cloud.,No peer review,No information about review.,1,0,0,0,1,10001,14
Overte,,Custom,,full code,,JS,Self-hosted,,No peer review,,0,0,1,0,1,00101,18
Third Room,,Custom,,full code,,C#,Self-hosted,,No peer review,,0,0,1,0,1,00101,21
